Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010
North America,118.46755,115.34801,117.04469,117.93194,120.71982,121.20333,120.76222,122.86815,120.10351,114.62372,118.34544,11018099079682,11344404036719,11718799179188,12382259767452,13273710802521,14234028121475,15141925145644,15910260777447,16229088365546,15761284017751,16541084496217
Bermuda,0.0075,0.00744,0.00752,0.00814,0.00869,0.00927,0.00922,0.01018,0.00981,0.00971,0.00955,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000
Canada,13.30484,12.87242,13.09648,13.52567,14.11424,14.17242,13.8183,14.02585,13.54625,13.09711,13.00072,724918860682,715423553719,734661951188,865873242452,992226099521,1133759985475,1278610846644,1424065729447,1502678437546,1337577639751,1577040082217
Greenland,0.00772,0.00796,0.00805,0.00809,0.00813,0.00829,0.00846,0.00826,0.00917,0.00893,0.00893,1068024993,1086170638,1169136691,1426452030,1644951892,1702543476,1738432116,2121759848,1739579593,1267711816,
Mexico,6.33194,6.29111,6.28657,6.41137,6.42585,6.73068,7.29561,7.5267,7.26255,6.94764,7.28397,692177614209,733461550751,750477694898,722164975397,774800766586,870215085180,966249852838,1043459078119,1099070673263,895354565566,1047368841686
Saint Pierre and Miquelon,0.00105,0.00096,0.00096,0.00105,0.00113,0.00117,0.00118,0.00122,0.00123,0.00122,0.00122,,,,,,,,,,,
United States,98.8145,96.16811,97.6451,97.97761,100.16178,100.28151,99.62944,101.29594,99.27451,94.55912,98.04105,10289700000000,10625300000000,10980200000000,11512200000000,12277000000000,13095400000000,13857900000000,14480300000000,14720300000000,14417900000000,14958300000000
Central & South America,20.79795,21.10569,21.09502,21.54205,22.48281,23.22909,24.34095,24.66038,25.7009,25.28353,26.86867,,,,,,,,,,,
Antarctica,0.00313,0.00318,0.00318,0.00327,0.00325,0.0035,0.0035,0.00337,0.00376,0.00339,0.00105,,,,,,,,,,,
Antigua and Barbuda,0.00725,0.00727,0.00732,0.00776,0.00836,0.00909,0.00927,0.00891,0.00973,0.00943,0.00941,787693391,778311556,806505874,849234753,905113766,1001970945,1141418339,1295824296,1354616665,1259082071,1161528615
Argentina,2.66876,2.61239,2.48186,2.66675,2.7809,2.95491,3.13524,3.27338,3.35163,3.30164,3.34874,284203750000,268696750000,102040286874,129597154256,153129509710,183193418481,214066154250,260768703249,326582808527,307155148184,368736062143
Aruba,0.01349,0.01353,0.01353,0.01442,0.01452,0.01487,0.01597,0.01461,0.01407,0.01449,0.01517,1873452513,1920262569,1941094972,2021301675,2228279329,2331005586,2421474860,2623726256,2791960893,2498932960,2467703910
"Bahamas, The",0.04749,0.0466,0.0469,0.0566,0.0572,0.0658,0.06591,0.06274,0.07109,0.04867,0.04867,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7888087000
Barbados,0.02378,0.02293,0.02293,0.02335,0.01599,0.0216,0.0206,0.01865,0.01746,0.02054,0.0193,3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4314050000,4513250000,4541550000,4592650000,4433700000
Belize,0.01074,0.01431,0.01376,0.01409,0.01513,0.01598,0.01709,0.01752,0.01782,0.01193,0.0125,831750000,871840755,932676403,990350000,1057850000,1114200000,1217450000,1290550000,1369600000,1338500000,1397900000
Bolivia,0.16192,0.14481,0.157,0.19835,0.20213,0.20023,0.22594,0.23317,0.24958,0.22976,0.23258,8397858184,8141513292,7905485216,8082396525,8773451738,9549196255,11451845341,13120107687,16674276951,17339992165,19649724655
Brazil,8.53326,8.44866,8.55386,8.66412,8.99638,9.35596,9.69969,10.12882,10.33828,10.42654,11.29911,644701831101,553582178386,504221228974,552469288267,663760341880,882185702547,1088916819852,1366853244424,1653538618144,1620165226993,2143035333258
Cayman Islands,0.0049,0.00496,0.00496,0.00514,0.00551,0.00578,0.00657,0.00757,0.00925,0.00774,0.00778,,,,,,,,,,,
Chile,1.01272,1.04667,1.0647,1.11922,1.19658,1.27932,1.31642,1.0911,1.34684,1.29926,1.33341,79328640263,72336972322,70984568428,77840186384,100630707851,124404150138,154671012210,173081288190,179626662207,171956957320,217556229881
Colombia,1.17201,1.16349,1.16015,1.20249,1.21593,1.26835,1.31278,1.33293,1.34274,1.33538,1.36665,99886577575,98203544965,97933392356,94684582573,117074865515,146520136085,162773603929,207520149156,244056736297,234360070287,287000940839
Costa Rica,0.14104,0.14556,0.15333,0.15957,0.16397,0.16188,0.17481,0.18426,0.19038,0.18469,0.18718,15946443103,16403602943,16844378578,17517536016,18596365926,19964893807,22526464409,26321999607,29831164925,29382590137,36298327620
Cuba,0.45968,0.46595,0.46699,0.46354,0.51958,0.45093,0.35559,0.37219,0.35797,0.41463,0.39997,30565200000,31683300000,33590400000,35901500000,38202800000,42644200000,52742100000,58603500000,60806200000,62078610000,64328220000
Dominica,0.00148,0.00175,0.00191,0.00203,0.00188,0.0016,0.00195,0.00193,0.00204,0.00204,0.00214,324463833,330949849,326998081,340803912,366976849,361615917,382299140,418759930,462166696,481257770,471851098
Dominican Republic,0.23415,0.24458,0.25249,0.28608,0.27171,0.27188,0.28134,0.29372,0.29398,0.28108,0.28926,23996656675,24894907435,26570402718,21268012747,22163928096,33969724872,35965041793,41320700932,45796188394,46768400362,51748279416
Ecuador,0.34462,0.3609,0.36515,0.37612,0.3921,0.40707,0.44521,0.47334,0.57449,0.53288,0.56297,18327386415,24468324000,28548945000,32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,67513698000
El Salvador,0.10082,0.10523,0.10397,0.1135,0.11117,0.11716,0.12156,0.12288,0.12097,0.11837,0.12442,13134100000,13812700000,14306700000,15046700000,15798300000,17093800000,18550700000,20104900000,21431000000,20661000000,21418300000
Falkland Islands (Islas Malvinas),0.00039,0.0004,0.00044,0.00044,0.00048,0.00053,0.00057,0.00065,0.00068,0.00067,0.00067,,,,,,,,,,,
French Guiana,0.01369,0.01921,0.01969,0.02057,0.02019,0.021,0.02132,0.02097,0.0203,0.01847,0.02087,,,,,,,,,,,
Grenada,0.00181,0.00318,0.00345,0.00349,0.00352,0.00361,0.00381,0.00377,0.0039,0.00398,0.00397,523256354,523279846,544381961,596339088,600014340,700431791,704762535,763824454,832339701,775507460,783602099
Guadeloupe,0.02632,0.02679,0.02733,0.02931,0.02985,0.03126,0.03275,0.03631,0.03707,0.03188,0.03188,,,,,,,,,,,
Guatemala,0.15753,0.16974,0.1687,0.17628,0.19425,0.20438,0.20222,0.20965,0.19736,0.21336,0.21337,19290566570,18702820735,20776536919,21917565499,23965280312,27211230373,30231130542,34113106486,39136286496,37733791088,41338161799
Guyana,0.0229,0.02354,0.02393,0.02341,0.02101,0.02313,0.022,0.02186,0.02235,0.02256,0.02244,712667925,696281468,722460911,741929343,785918769,824880550,1458449057,1740335068,1922597806,2025565089,2259288026
Haiti,0.02408,0.02601,0.02652,0.02639,0.02686,0.02719,0.02785,0.02907,0.03579,0.03339,0.03097,3664503845,3507981945,3214632478,2826481071,3660483885,4154289832,4879738635,5971284337,6407707284,6470254240,6634579143
Honduras,0.08601,0.09293,0.09775,0.10039,0.10937,0.11675,0.12283,0.13443,0.13243,0.12509,0.13198,7105541205,7566501475,7776438040,8140284928,8772167983,9672095583,10841723354,12275493958,13789727209,14486137413,15729644901
Jamaica,0.14637,0.14699,0.15054,0.15637,0.15835,0.15258,0.17143,0.18033,0.17854,0.12778,0.12696,9008629729,9104515930,9718989516,9430236065,10173234921,11075778481,11903020643,12820055024,13676837630,12043372132,13202998397
Martinique,0.02815,0.02841,0.02879,0.03002,0.03085,0.03266,0.03259,0.03382,0.03016,0.03605,0.0361,,,,,,,,,,,
Montserrat,0.00075,0.00075,0.00075,0.00084,0.00092,0.00097,0.00106,0.00115,0.00117,0.00115,0.00115,,,,,,,,,,,
