Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,G2000,G2001,G2002,G2003,G2004,G2005,G2006,G2007,G2008,G2009,G2010
North America,286.62779,276.1373,277.43994,276.93702,280.72489,279.11872,275.3254,277.3556,268.45188,253.81582,259.70566,11018099079682,11344404036719,11718799179188,12382259767452,13273710802521,14234028121475,15141925145644,15910260777447,16229088365546,15761284017751,16541084496217
Bermuda,118.96492,117.04571,117.20732,125.76214,133.05066,140.64392,138.71009,152.11966,145.63108,143.1295,139.8506,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000
Canada,427.81451,410.25348,413.90891,424.14428,439.22021,437.60444,423.13868,425.8522,407.8635,391.10771,385.0955,724918860682,715423553719,734661951188,865873242452,992226099521,1133759985475,1278610846644,1424065729447,1502678437546,1337577639751,1577040082217
Greenland,135.70245,139.36854,140.31681,140.64,140.95177,143.42677,146.85465,143.55009,159.34193,155.0137,155.01426,1068024993,1086170638,1169136691,1426452030,1644951892,1702543476,1738432116,2121759848,1739579593,1267711816,
Mexico,63.36589,62.13628,61.34443,61.81538,61.22213,63.37564,67.89806,69.24229,66.04992,62.47212,64.76434,692177614209,733461550751,750477694898,722164975397,774800766586,870215085180,966249852838,1043459078119,1099070673263,895354565566,1047368841686
Saint Pierre and Miquelon,163.57035,151.0813,152.0357,166.90575,181.25675,188.57905,191.65624,200,202.5936,203.82594,205.64367,,,,,,,,,,,
United States,350.20433,337.46873,339.48731,337.72815,342.07639,339.34306,333.90131,336.27305,326.45997,308.23956,316.94623,10289700000000,10625300000000,10980200000000,11512200000000,12277000000000,13095400000000,13857900000000,14480300000000,14720300000000,14417900000000,14958300000000
Central & South America,49.63226,49.70323,49.03747,49.43272,50.93296,51.96863,53.80607,53.88499,55.52702,54.02806,56.84048,,,,,,,,,,,
Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,
Antigua and Barbuda,96.27062,94.80757,93.8928,98.11036,104.24747,111.84012,112.60531,106.83264,115.13057,110.09229,108.50278,787693391,778311556,806505874,849234753,905113766,1001970945,1141418339,1295824296,1354616665,1259082071,1161528615
Argentina,71.48013,69.30477,65.31318,69.56101,71.78019,75.41631,79.14387,81.73482,82.793,80.69791,80.99859,284203750000,268696750000,102040286874,129597154256,153129509710,183193418481,214066154250,260768703249,326582808527,307155148184,368736062143
Aruba,149.87734,148.67557,146.74152,153.85148,152.10326,153.37754,162.12541,146.08044,138.57259,140.56015,145.04041,1873452513,1920262569,1941094972,2021301675,2228279329,2331005586,2421474860,2623726256,2791960893,2498932960,2467703910
"Bahamas, The",168.04827,163.11071,162.52653,194.26011,194.52535,221.77358,220.22079,207.75534,233.28277,158.25419,156.78903,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7888087000
Barbados,86.87332,83.40615,83.00998,84.14113,57.36598,77.13373,73.26884,66.0658,61.58353,72.1578,67.56285,3119500000,3112350000,3168600000,3271200000,3509700000,3891500000,4314050000,4513250000,4541550000,4592650000,4433700000
Belize,43.28725,56.20207,52.66602,52.59665,55.08596,56.80323,59.33974,59.46424,59.14297,38.75819,39.7346,831750000,871840755,932676403,990350000,1057850000,1114200000,1217450000,1290550000,1369600000,1338500000,1397900000
Bolivia,19.75822,17.30593,18.37894,22.74923,22.72193,22.06882,24.42627,24.73753,25.99485,23.50449,23.38116,8397858184,8141513292,7905485216,8082396525,8773451738,9549196255,11451845341,13120107687,16674276951,17339992165,19649724655
Brazil,48.95297,47.78927,47.73233,47.7222,48.93927,50.29547,51.55814,53.26267,53.80871,53.73975,57.69735,644701831101,553582178386,504221228974,552469288267,663760341880,882185702547,1088916819852,1366853244424,1653538618144,1620165226993,2143035333258
Cayman Islands,127.50217,125.12742,121.49969,122.33775,127.73378,130.37873,144.38717,162.15846,193.31155,157.8063,155.00887,,,,,,,,,,,
Chile,66.73778,68.19708,68.62453,71.40069,75.59545,80.06182,81.611,67.00815,81.9196,78.25954,79.55941,79328640263,72336972322,70984568428,77840186384,100630707851,124404150138,154671012210,173081288190,179626662207,171956957320,217556229881
Colombia,30.1208,29.5959,29.14593,29.80082,29.71332,30.57169,31.22224,31.2915,31.12438,30.57367,30.91598,99886577575,98203544965,97933392356,94684582573,117074865515,146520136085,162773603929,207520149156,244056736297,234360070287,287000940839
Costa Rica,36.32548,36.79268,38.13254,39.07332,39.54292,38.46364,40.94061,42.54353,43.33413,41.45666,41.44709,15946443103,16403602943,16844378578,17517536016,18596365926,19964893807,22526464409,26321999607,29831164925,29382590137,36298327620
Cuba,41.51758,41.9628,41.95156,41.50929,46.41069,40.26713,31.80636,33.34983,32.14805,37.32179,36.03825,30565200000,31683300000,33590400000,35901500000,38202800000,42644200000,52742100000,58603500000,60806200000,62078610000,64328220000
Dominica,20.92045,24.56282,26.68247,28.35389,26.17651,22.14136,26.93485,26.63227,28.08688,28.12216,29.40182,324463833,330949849,326998081,340803912,366976849,361615917,382299140,418759930,462166696,481257770,471851098
Dominican Republic,27.64788,28.39527,28.83375,32.15653,30.08147,29.66681,30.26752,31.16015,30.75708,29.00512,29.44474,23996656675,24894907435,26570402718,21268012747,22163928096,33969724872,35965041793,41320700932,45796188394,46768400362,51748279416
Ecuador,27.68984,28.57644,28.46635,28.76802,29.33016,29.79479,31.9904,33.48745,40.02137,36.56587,38.06297,18327386415,24468324000,28548945000,32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,67513698000
El Salvador,17.23548,17.88576,17.61659,19.17287,18.73147,19.67017,20.35897,20.54166,20.14006,19.62812,20.55862,13134100000,13812700000,14306700000,15046700000,15798300000,17093800000,18550700000,20104900000,21431000000,20661000000,21418300000
Falkland Islands (Islas Malvinas),138.54698,136.77427,150.00104,148.15781,161.92675,176.99729,192.04094,219.8536,215.34112,214.71003,214.70748,,,,,,,,,,,
French Guiana,76.56797,104.7165,104.6523,106.60362,102.04597,103.47567,102.39621,98.24152,92.71805,82.23275,90.60337,,,,,,,,,,,
Grenada,17.76633,31.10982,33.56459,33.80959,33.84648,34.55643,36.18789,35.63762,36.62326,37.14551,36.77716,523256354,523279846,544381961,596339088,600014340,700431791,704762535,763824454,832339701,775507460,783602099
Guadeloupe,61.08387,61.67541,62.3944,66.36017,67.02717,69.61409,72.32286,79.49728,80.4618,68.59431,67.99474,,,,,,,,,,,
Guatemala,14.21112,15.04163,14.66138,15.03413,16.26882,16.77665,16.23666,16.47181,15.17898,16.0704,15.74654,19290566570,18702820735,20776536919,21917565499,23965280312,27211230373,30231130542,34113106486,39136286496,37733791088,41338161799
Guyana,29.14698,29.9449,30.57603,30.01538,26.96023,29.78182,28.5619,28.62595,29.48422,29.96569,29.98249,712667925,696281468,722460911,741929343,785918769,824880550,1458449057,1740335068,1922597806,2025565089,2259288026
Haiti,2.86237,3.03599,3.03977,2.97034,2.96937,2.95414,2.97598,3.05994,3.71334,3.41523,3.20975,3664503845,3507981945,3214632478,2826481071,3660483885,4154289832,4879738635,5971284337,6407707284,6470254240,6634579143
Honduras,13.52537,14.23744,14.60373,14.63039,15.55873,16.2314,16.69963,17.88526,17.25248,15.96877,16.51982,7105541205,7566501475,7776438040,8140284928,8772167983,9672095583,10841723354,12275493958,13789727209,14486137413,15729644901
Jamaica,55.96011,55.66879,56.48797,58.14917,58.36877,55.75722,62.11944,64.81397,63.66654,45.21704,44.59013,9008629729,9104515930,9718989516,9430236065,10173234921,11075778481,11903020643,12820055024,13676837630,12043372132,13202998397
Martinique,73.11984,73.38659,73.96517,76.72828,78.42224,82.55039,81.93103,84.54963,75.02414,89.2458,88.90922,,,,,,,,,,,
Montserrat,189.8076,177.39666,156.33772,187.14959,186.16234,214.40686,228.5013,254.87589,229.36791,226.31855,225.43415,,,,,,,,,,,
Netherlands Antilles,741.86776,743.51332,704.92157,669.26527,666.58605,695.95461,722.67731,754.01854,859.21699,763.74464,718.69771,385074626865,400654138702,437807265198,538312641083,609889925685,638470626274,677691901432,782566743038,870811147324,796333367137,772090789473
Nicaragua,11.3783,11.93355,12.14236,12.20098,12.76248,13.49032,13.21195,13.23472,13.04829,12.65984,12.90397,5107329009,5323146567,5224213018,5322437647,5795568202,6322582497,6786294613,7446636654,8254342299,8156131183,8586295846
Panama,71.17351,68.90903,67.53506,64.45618,73.19237,69.7961,71.69706,72.28682,72.15378,74.47654,81.16585,11620500000,11807500000,12272400000,12933200000,14179300000,15464700000,17137000000,19793700000,23001600000,24162900000,26589600000
Paraguay,79.30807,68.68601,70.09848,74.03314,71.22053,69.15098,70.60548,69.57283,71.01146,69.30191,68.62108,8195993191,7662594856,6325151820,6588103956,8033877459,8734651353,10662013294,13837525590,18504760911,15954961409,20028375553
Peru,20.49597,20.57033,20.62438,20.78906,21.47982,22.55742,24.39032,24.41962,26.90906,26.11588,29.29269,53290390318,53935760985,56772338815,61346725170,69725009964,79385073422,92432757798,107492226613,129537265753,130064300617,157609814184
Puerto Rico,115.64836,125.26468,125.95719,135.87238,138.60501,134.3902,135.16691,112.72906,117.22134,105.4057,118.12497,61702000000,69208000000,71624000000,74827000000,79209000000,82809000000,86157000000,88405000000,92605700000,95369800000,97147300000
Saint Kitts and Nevis,31.70199,31.42407,31.08954,34.52433,37.73754,39.3872,51.6609,72.75418,72.35197,75.09548,74.4664,,,,,,,,,,,
Saint Lucia,30.72851,32.00463,32.42464,35.40393,34.03415,33.8151,34.63872,36.30141,37.80126,36.60533,36.45634,,,,,,,,,,,
Saint Vincent/Grenadines,24.89694,24.86344,26.45947,27.72384,29.82835,29.8763,29.30211,29.82898,30.09279,30.01063,30.39339,,,,,,,,,,,
Suriname,63.07594,65.14261,66.66407,67.09137,67.8427,69.42137,70.49173,68.55762,67.51652,67.58582,65.67013,892164363,763465570,1078402127,1271196078,1484092538,1793557833,2626093294,2936612021,3532969034,3875409836,4368007284
Trinidad and Tobago,335.96325,379.11601,401.31965,433.74185,476.06213,544.4151,665.11076,668.48194,727.6646,691.17722,761.98457,8154315708,8824873155,9008273516,11235960523,12884712295,16088526685,18460905284,21735387008,28017710148,19251916757,20667611846
Turks and Caicos Islands,20.33132,11.24425,8.20222,7.66042,6.99847,6.3464,5.49833,29.48896,59.07572,55.13589,52.29182,,,,,,,,,,,
Uruguay,51.08531,50.20271,51.96443,50.25717,43.25956,48.02202,45.48474,54.22573,56.14836,57.55575,64.08096,22823255805,20898788420,13606494599,12045627411,13686333821,17362872709,19579479147,23410536954,30366148247,30229404320,38846222984
Venezuela,117.86217,127.09929,121.2954,110.89464,117.91986,115.41969,123.18201,117.82231,122.09501,113.31919,121.99005,117147614565,122909734601,92889586976,83622191418,112451400422,145513489651,183477522123,230364012575,315600203539,329418979506,393807511437
"Virgin Islands,  U.S.","1,276.11515","1,770.94985","1,762.81895","2,077.76655","2,172.99843","2,122.00214","2,218.25096","2,011.05082","2,082.78894","2,091.73756","2,146.87095",,,,,,,,,,,
"Virgin Islands, British",37.17797,36.16479,35.17339,39.66549,48.88614,51.05057,52.78016,55.71741,56.83158,54.49702,53.12724,,,,,,,,,,,
