Country Name,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,330,167,597.76536","1,320,670,391.06145","1,379,888,268.15642","1,531,843,575.41899","1,665,363,128.49162","1,722,798,882.68156","1,873,452,513.96648","1,920,262,569.8324","1,941,094,972.06704","2,021,301,675.97765","2,228,279,329.60894","2,331,005,586.59218","2,421,474,860.3352","2,623,726,256.98324","2,791,960,893.85475","2,498,932,960.89385","2,467,703,910.61453","2,584,463,687.15084",
Andorra,,,,,,,,,,"78,617,570.3229253","89,406,659.5140116","113,414,331.870944","150,841,699.110766","186,557,164.008677","220,112,850.775998","227,284,165.925171","253,998,069.145235","308,020,384.39595","411,548,246.761169","446,377,494.880496","388,983,013.897495","375,914,742.918141","327,849,949.00321","330,073,024.937292","346,742,901.743383","481,996,232.885864","611,300,198.45912","721,426,027.475386","795,489,397.964069","1,028,989,439.40715","1,106,890,942.98847","1,209,992,604.28817","1,007,090,896.43735","1,017,544,619.09316","1,178,745,261.82826","1,224,023,469.69136","1,180,646,037.01274","1,211,953,953.56155","1,239,840,265.63345","1,133,644,294.5425","1,264,760,246.44075","1,456,198,796.29382","1,917,948,475.27513","2,322,163,502.26295","2,539,759,285.92747","2,823,503,852.62328","3,245,411,583.7197","3,712,034,266.50674",,,,
Afghanistan,"548,888,894.577778","546,666,678.044444","751,111,190.755556","800,000,045.511111","1,006,666,638.22222","1,399,999,965.86667","1,673,333,418.66667","1,373,333,367.46667","1,408,888,923.02222","1,748,886,596.26667","1,831,108,972.08889","1,595,555,475.91111","1,733,333,265.06667","2,155,555,498.66667","2,366,666,615.46667","2,555,555,566.93333","2,953,333,418.66667","3,300,000,108.08889","3,697,940,345.14177","3,641,723,447.18433","3,478,787,909.81818",,,,,,,,,,,,,,,,,,,,"2,461,666,314.78366","4,128,818,042.61749","4,583,648,921.74369","5,285,461,998.97866","6,275,076,015.72254","7,057,597,615.29559","9,843,851,008.65578","10,190,534,636.4958","12,486,950,468.7364","15,936,784,436.1811","17,870,159,081.5143","20,496,777,409.458"
Angola,,,,,,,,,,,,,,,,,,,,,,,,,"6,804,278,062.62664","6,355,849,179.35458","7,383,121,653.67413","7,975,234,067.37627","9,283,054,576.2006","10,260,193,360.6806","12,193,746,624.6789","5,779,394,291.7582","5,285,600,050.3455","4,059,577,145.36303","5,039,534,776.4902","7,526,446,605.51712","7,648,377,412.83277","6,445,041,824.66621","6,152,922,942.98032","9,129,594,818.60749","8,936,079,252.77131","12,497,346,042.8261","14,188,949,239.8095","19,640,862,549.6511","28,233,699,240.3249","41,789,494,461.5461","60,448,890,972.4218","84,178,086,998.6708","75,492,417,649.3276","82,470,894,868.3337","104,115,863,405.183","114,147,030,253.231"
Albania,,,,,,,,,,,,,,,,,,,,,,,,"1,924,242,456.27134","1,965,384,580.6465",2173750016,2156624896,2126000000,2335124992,2101624960,"1,139,166,679.0665","709,452,572.658102","1,228,071,037.41335","1,985,673,025.89461","2,424,498,952.88127","3,013,217,852.57366","2,196,223,713.8105","2,727,745,453.08283","3,434,402,453.41057","3,686,649,387.03405","4,091,020,249.36656","4,449,373,455.56632","5,652,325,081.59963","7,464,446,950.02559","8,376,483,740.48289","9,132,562,332.43024","10,704,661,570.5584","12,968,652,890.9091","12,118,580,597.0542","11,858,166,294.8409","12,959,563,902.4015","12,648,095,824.4086"
Arab World,,,,,,,,"32,469,137,263.4083","35,811,958,665.0587","39,077,639,495.7572","45,289,992,444.8348","54,958,555,148.563","69,592,657,819.7719","132,176,586,189.354","147,725,344,407.211","182,340,788,512.513","211,731,631,142.815","234,191,092,976.593","312,365,464,590.481","414,508,109,868.625","427,269,050,608.395","397,788,016,162.607","375,179,366,310.678","379,368,940,096.852","374,583,388,998.856","352,839,737,613.984","376,512,328,853.956","363,121,957,893.304","383,457,882,712.67","431,387,192,109.48","424,318,498,922.64","454,267,602,482.586","459,879,134,429.771","470,200,934,260.646","504,711,226,934.71","557,436,621,301.803","592,427,663,299.71","575,755,771,525.71","628,182,600,846.002","723,694,306,542.266","703,915,275,298.082","713,804,289,586.116","804,100,804,249.573","946,643,582,228.887","1,158,762,407,500.52","1,396,469,740,105.35","1,631,880,343,193.5","2,073,805,224,439.72","1,807,824,851,146.26","2,103,058,392,938.17","2,555,354,699,725.03",
United Arab Emirates,,,,,,,,,,,,,,,"14,720,672,892.0843","19,213,022,856.0617","24,871,774,865.6258","23,775,831,263.3068","31,225,462,774.4732","43,598,747,466.6017","49,333,424,083.8485","46,622,718,556.837","42,803,323,300.6588","41,807,954,192.4585","40,603,650,189.3515","33,943,612,059.5248","36,384,908,706.4022","36,275,674,165.5187","41,464,995,870.8318","50,701,443,695.6114","51,552,165,568.8761","54,239,171,831.4067","55,625,170,195.5344","59,305,093,918.2155","65,743,666,507.5478","73,571,233,919.7352","78,839,008,362.6404","75,674,338,444.8071","84,445,475,523.1267","104,337,375,342.526","103,311,643,522.893","109,816,204,634.494","124,346,361,618.639","147,824,374,542.517","180,617,023,539.137","222,105,928,740.596","258,150,041,410.76","314,844,665,222.197","270,334,929,437.512","287,421,927,883.393","348,594,972,517.105",
Argentina,,"24,450,604,877.6081","18,272,123,664.4715","25,605,249,381.7597","28,344,705,967.5816","28,630,474,726.3365","24,256,667,554.62","26,436,857,248.0056","31,256,284,544.7361","31,584,210,364.5523","33,293,199,094.6727","34,733,000,536.4685","52,544,000,117.2532","72,436,777,341.9953","52,438,647,921.8723","51,169,499,890.7757","56,781,000,100.9442","58,082,870,156.265","69,252,328,953.3803","76,961,923,741.9469","78,676,842,366.4213","84,307,486,836.724","103,979,106,777.911","79,092,001,998.032","88,416,668,900.2596","110,934,442,762.694","111,106,191,358.197","126,206,817,196.091","76,636,898,036.4712","141,352,368,714.691","189,719,989,668.103","228,779,382,768.151","236,753,563,469.871",257440000000,258031750000,272149750000,292859000000,298948250000,283523000000,284203750000,268696750000,"102,040,286,874.385","129,597,154,256.313","153,129,509,710.176","183,193,418,481.532","214,066,154,250.003","260,768,703,249.434","326,582,808,527.135","307,155,148,184.324","368,736,062,143.669","446,044,143,596.268","475,501,675,472.598"
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,256,838,858.42714","2,068,526,521.90299","1,272,577,521.7683","1,201,313,196.45626","1,315,158,670.47971","1,468,317,350.02343","1,596,968,913.19202","1,639,492,424.38103","1,893,726,437.35976","1,845,482,181.48539","1,911,563,665.39006","2,118,467,913.37873","2,376,335,048.39976","2,807,061,008.69084","3,576,615,240.41616","4,900,436,758.50466","6,384,457,744.44765","9,206,277,478.95229","11,662,017,844.8868","8,648,015,304.9989","9,260,297,329.12273","10,142,408,118.3387","9,950,522,732.78837"
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,"66,144,443.2762914","74,855,554.2335588","92,240,739.1117105","110,066,664.722819","124,462,954.838942","137,951,855.34146","153,270,373.589444","173,511,108.046794","201,862,965.32386","245,896,291.953611","286,474,069.01476","338,696,290.314704","373,403,703.035082","391,570,363.454988","410,388,899.418937","423,762,955.479039","456,537,023.048377","500,088,880.057001","494,185,188.309412","541,074,082.296139","579,851,829.759447","620,037,014.234937","651,851,840.339733","787,693,391.348092","778,311,556.513781","806,505,874.275111","849,234,753.890862","905,113,766.533633","1,001,970,945.08233","1,141,418,339.6196","1,295,824,296.3001","1,354,616,665.25926","1,259,082,071.48148","1,161,528,615.92593","1,094,862,187.77778","1,134,159,259.25926"
