Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,GDP2010,POP2010
North America,118.46755,115.34801,117.04469,117.93194,120.71982,121.20333,120.76222,122.86815,120.10351,114.62372,118.34544,118.79012,16541084496217
Bermuda,0.0075,0.00744,0.00752,0.00814,0.00869,0.00927,0.00922,0.01018,0.00981,0.00971,0.00955,0.00848,5744414000,65
Canada,13.30484,12.87242,13.09648,13.52567,14.11424,14.17242,13.8183,14.02585,13.54625,13.09711,13.00072,13.49506,1577040082217,34126
Greenland,0.00772,0.00796,0.00805,0.00809,0.00813,0.00829,0.00846,0.00826,0.00917,0.00893,0.00893,0.00842,,57
Mexico,6.33194,6.29111,6.28657,6.41137,6.42585,6.73068,7.29561,7.5267,7.26255,6.94764,7.28397,7.8079,1047368841686,117886
Saint Pierre and Miquelon,0.00105,0.00096,0.00096,0.00105,0.00113,0.00117,0.00118,0.00122,0.00123,0.00122,0.00122,0.00126,6
United States,98.8145,96.16811,97.6451,97.97761,100.16178,100.28151,99.62944,101.29594,99.27451,94.55912,98.04105,97.469,14958300000000,312247
Central & South America,20.79795,21.10569,21.09502,21.54205,22.48281,23.22909,24.34095,24.66038,25.7009,25.28353,26.86867,NA
Antarctica,0.00313,0.00318,0.00318,0.00327,0.00325,0.0035,0.0035,0.00337,0.00376,0.00339,0.00105,0.00197
Antigua and Barbuda,0.00725,0.00727,0.00732,0.00776,0.00836,0.00909,0.00927,0.00891,0.00973,0.00943,0.00941,0.00827,1161528615,87
Argentina,2.66876,2.61239,2.48186,2.66675,2.7809,2.95491,3.13524,3.27338,3.35163,3.30164,3.34874,NA,368736062143,40374
Aruba,0.01349,0.01353,0.01353,0.01442,0.01452,0.01487,0.01597,0.01461,0.01407,0.01449,0.01517,0.01354,2467703910,102
"Bahamas, The",0.04749,0.0466,0.0469,0.0566,0.0572,0.0658,0.06591,0.06274,0.07109,0.04867,0.04867,0.04903,7888087000,360
Barbados,0.02378,0.02293,0.02293,0.02335,0.01599,0.0216,0.0206,0.01865,0.01746,0.02054,0.0193,0.01903,4433700000,280
Belize,0.01074,0.01431,0.01376,0.01409,0.01513,0.01598,0.01709,0.01752,0.01782,0.01193,0.0125,NA,1397900000,309
Bolivia,0.16192,0.14481,0.157,0.19835,0.20213,0.20023,0.22594,0.23317,0.24958,0.22976,0.23258,NA,19649724655,10157
Brazil,8.53326,8.44866,8.55386,8.66412,8.99638,9.35596,9.69969,10.12882,10.33828,10.42654,11.29911,11.65825,2143035333258,195210
Cayman Islands,0.0049,0.00496,0.00496,0.00514,0.00551,0.00578,0.00657,0.00757,0.00925,0.00774,0.00778,0.00767,,56
Chile,1.01272,1.04667,1.0647,1.11922,1.19658,1.27932,1.31642,1.0911,1.34684,1.29926,1.33341,1.35784,217556229881,17151
Colombia,1.17201,1.16349,1.16015,1.20249,1.21593,1.26835,1.31278,1.33293,1.34274,1.33538,1.36665,NA,287000940839,46445
Costa Rica,0.14104,0.14556,0.15333,0.15957,0.16397,0.16188,0.17481,0.18426,0.19038,0.18469,0.18718,NA,36298327620,4670
Cuba,0.45968,0.46595,0.46699,0.46354,0.51958,0.45093,0.35559,0.37219,0.35797,0.41463,0.39997,NA,64328220000,11282
Dominica,0.00148,0.00175,0.00191,0.00203,0.00188,0.0016,0.00195,0.00193,0.00204,0.00204,0.00214,NA,471851098,71
Dominican Republic,0.23415,0.24458,0.25249,0.28608,0.27171,0.27188,0.28134,0.29372,0.29398,0.28108,0.28926,0.31375,51748279416,10017
Ecuador,0.34462,0.3609,0.36515,0.37612,0.3921,0.40707,0.44521,0.47334,0.57449,0.53288,0.56297,NA,67513698000,15001
El Salvador,0.10082,0.10523,0.10397,0.1135,0.11117,0.11716,0.12156,0.12288,0.12097,0.11837,0.12442,NA,21418300000,6218
Falkland Islands (Islas Malvinas),0.00039,0.0004,0.00044,0.00044,0.00048,0.00053,0.00057,0.00065,0.00068,0.00067,0.00067,0.00065
French Guiana,0.01369,0.01921,0.01969,0.02057,0.02019,0.021,0.02132,0.02097,0.0203,0.01847,0.02087,NA,231
Grenada,0.00181,0.00318,0.00345,0.00349,0.00352,0.00361,0.00381,0.00377,0.0039,0.00398,0.00397,0.00396,783602099,105
Guadeloupe,0.02632,0.02679,0.02733,0.02931,0.02985,0.03126,0.03275,0.03631,0.03707,0.03188,0.03188,0.03255,459
Guatemala,0.15753,0.16974,0.1687,0.17628,0.19425,0.20438,0.20222,0.20965,0.19736,0.21336,0.21337,NA,41338161799,14342
