Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,GDP2010,POP2010
North America,286.62779,276.1373,277.43994,276.93702,280.72489,279.11872,275.3254,277.3556,268.45188,253.81582,259.70566,258.53223,16541084496217
Bermuda,118.96492,117.04571,117.20732,125.76214,133.05066,140.64392,138.71009,152.11966,145.63108,143.1295,139.8506,123.52213,5744414000,65
Canada,427.81451,410.25348,413.90891,424.14428,439.22021,437.60444,423.13868,425.8522,407.8635,391.10771,385.0955,396.55672,1577040082217,34126
Greenland,135.70245,139.36854,140.31681,140.64,140.95177,143.42677,146.85465,143.55009,159.34193,155.0137,155.01426,146.00627,,57
Mexico,63.36589,62.13628,61.34443,61.81538,61.22213,63.37564,67.89806,69.24229,66.04992,62.47212,64.76434,68.65647,1047368841686,117886
Saint Pierre and Miquelon,163.57035,151.0813,152.0357,166.90575,181.25675,188.57905,191.65624,200,202.5936,203.82594,205.64367,213.2513,6
United States,350.20433,337.46873,339.48731,337.72815,342.07639,339.34306,333.90131,336.27305,326.45997,308.23956,316.94623,312.80978,14958300000000,312247
Central & South America,49.63226,49.70323,49.03747,49.43272,50.93296,51.96863,53.80607,53.88499,55.52702,54.02806,56.84048,NA
Antarctica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,96.27062,94.80757,93.8928,98.11036,104.24747,111.84012,112.60531,106.83264,115.13057,110.09229,108.50278,94.14642,1161528615,87
Argentina,71.48013,69.30477,65.31318,69.56101,71.78019,75.41631,79.14387,81.73482,82.793,80.69791,80.99859,NA,368736062143,40374
Aruba,149.87734,148.67557,146.74152,153.85148,152.10326,153.37754,162.12541,146.08044,138.57259,140.56015,145.04041,127.61468,2467703910,102
"Bahamas, The",168.04827,163.11071,162.52653,194.26011,194.52535,221.77358,220.22079,207.75534,233.28277,158.25419,156.78903,156.48071,7888087000,360
Barbados,86.87332,83.40615,83.00998,84.14113,57.36598,77.13373,73.26884,66.0658,61.58353,72.1578,67.56285,66.38272,4433700000,280
Belize,43.28725,56.20207,52.66602,52.59665,55.08596,56.80323,59.33974,59.46424,59.14297,38.75819,39.7346,NA,1397900000,309
Bolivia,19.75822,17.30593,18.37894,22.74923,22.72193,22.06882,24.42627,24.73753,25.99485,23.50449,23.38116,NA,19649724655,10157
Brazil,48.95297,47.78927,47.73233,47.7222,48.93927,50.29547,51.55814,53.26267,53.80871,53.73975,57.69735,59.0006,2143035333258,195210
Cayman Islands,127.50217,125.12742,121.49969,122.33775,127.73378,130.37873,144.38717,162.15846,193.31155,157.8063,155.00887,149.29096,,56
Chile,66.73778,68.19708,68.62453,71.40069,75.59545,80.06182,81.611,67.00815,81.9196,78.25954,79.55941,80.27412,217556229881,17151
Colombia,30.1208,29.5959,29.14593,29.80082,29.71332,30.57169,31.22224,31.2915,31.12438,30.57367,30.91598,NA,287000940839,46445
Costa Rica,36.32548,36.79268,38.13254,39.07332,39.54292,38.46364,40.94061,42.54353,43.33413,41.45666,41.44709,NA,36298327620,4670
Cuba,41.51758,41.9628,41.95156,41.50929,46.41069,40.26713,31.80636,33.34983,32.14805,37.32179,36.03825,NA,64328220000,11282
Dominica,20.92045,24.56282,26.68247,28.35389,26.17651,22.14136,26.93485,26.63227,28.08688,28.12216,29.40182,NA,471851098,71
Dominican Republic,27.64788,28.39527,28.83375,32.15653,30.08147,29.66681,30.26752,31.16015,30.75708,29.00512,29.44474,31.51159,51748279416,10017
Ecuador,27.68984,28.57644,28.46635,28.76802,29.33016,29.79479,31.9904,33.48745,40.02137,36.56587,38.06297,NA,67513698000,15001
El Salvador,17.23548,17.88576,17.61659,19.17287,18.73147,19.67017,20.35897,20.54166,20.14006,19.62812,20.55862,NA,21418300000,6218
Falkland Islands (Islas Malvinas),138.54698,136.77427,150.00104,148.15781,161.92675,176.99729,192.04094,219.8536,215.34112,214.71003,214.70748,206.38968
French Guiana,76.56797,104.7165,104.6523,106.60362,102.04597,103.47567,102.39621,98.24152,92.71805,82.23275,90.60337,NA,231
Grenada,17.76633,31.10982,33.56459,33.80959,33.84648,34.55643,36.18789,35.63762,36.62326,37.14551,36.77716,36.49831,783602099,105
Guadeloupe,61.08387,61.67541,62.3944,66.36017,67.02717,69.61409,72.32286,79.49728,80.4618,68.59431,67.99474,68.81819,459
Guatemala,14.21112,15.04163,14.66138,15.03413,16.26882,16.77665,16.23666,16.47181,15.17898,16.0704,15.74654,NA,41338161799,14342
Guyana,29.14698,29.9449,30.57603,30.01538,26.96023,29.78182,28.5619,28.62595,29.48422,29.96569,29.98249,NA,2259288026,786
Haiti,2.86237,3.03599,3.03977,2.97034,2.96937,2.95414,2.97598,3.05994,3.71334,3.41523,3.20975,NA,6634579143,9896
Honduras,13.52537,14.23744,14.60373,14.63039,15.55873,16.2314,16.69963,17.88526,17.25248,15.96877,16.51982,NA,15729644901,7621
Jamaica,55.96011,55.66879,56.48797,58.14917,58.36877,55.75722,62.11944,64.81397,63.66654,45.21704,44.59013,NA,13202998397,2741
Martinique,73.11984,73.38659,73.96517,76.72828,78.42224,82.55039,81.93103,84.54963,75.02414,89.2458,88.90922,94.02904,401
